p_id,commits,authors
10219865,4,1
19525714,14,1
3663136,2,1
30236181,17,1
8149930,8,1
6112024,3,1
16090239,6,1
35134509,3,2
37336325,38,3
12300583,78,2
9391537,2,1
35805027,9,1
27527781,216,2
4933075,3,1
32616801,3,1
35885755,3,2
32063811,4,2
12738801,2,1
208321,147,11
26173632,4,1
25066337,7,1
39551566,2,1
32005889,44,1
32101351,23,1
24381865,2,1
30029794,2,1
35278045,33,1
15436928,4,1
12738786,3,2
5750527,79,7
18379235,2,1
18354232,27,4
37288889,8,1
13739164,4,1
30935752,2,1
20099384,2,1
24156801,10,1
26662980,9,1
26090773,4,2
6094964,4,1
12276463,3,2
973941,8,1
23396521,2,1
31302843,11,1
35254632,386,7
31310042,2,1
33025589,2,2
15627282,380,1
26045825,7,2
29916699,2,1
32080077,8,1
11440673,2,1
10240848,11,2
8120762,4,1
3965969,34,4
17904713,2,2
40105678,2,1
15292770,10,3
27512349,50,2
39662005,32,1
997420,66,2
2912389,37,2
3933589,2,1
24959181,27,3
27047066,2,1
10937166,45,2
15279778,32,1
17696627,2,1
32144298,3,1
32184972,5,1
16834458,6,2
10764543,3,1
39078451,2,1
22796924,25,10
8068194,11,1
5539420,2,1
16503265,2,1
39670873,3,1
28300191,2,1
36304215,5,1
25405137,18,2
14169674,2,1
14502256,2,2
6904784,5,1
41839777,119,1
10142762,9,1
32356520,2,2
36954677,3,1
43372105,3,1
12894886,8,3
10369749,2,1
31906209,77,2
2718394,25,4
25051415,11,1
38893797,12,1
8729549,13,2
7125306,40,1
14119804,6,1
10194591,2,1
37119324,8,1
976040,6,1
22166791,17,3
8680962,8,2
19204309,4,1
7614785,32,1
2897664,13,1
23128793,2,1
44303926,3,2
36920768,4,1
13886266,2,2
12416257,3,1
7948937,121,6
14803981,2,1
20242735,2,2
19033098,8,1
33595705,2,1
2830001,24,1
31656546,24,1
34454439,2,1
31808989,37,1
12834580,4,1
10650431,181,2
22072300,4,1
31632230,5,1
30835818,2,1
28084447,2,1
5723805,26,2
8071079,7,2
13908114,3,2
22778527,15,1
27195242,10,1
22252272,60,1
44362648,13,1
12934738,7,1
41773149,36,1
15585753,28,2
28746277,4,1
4094108,2,1
32319423,3,1
12582403,5,2
32540173,8,2
12608207,2,2
11549372,4,1
8484730,44,1
28105178,6,1
630173,52,3
19586697,7,1
28395261,66,2
16795452,3,1
25595340,2,1
10889245,2,2
22188694,3,1
43856000,10,2
32696805,5,2
27619983,2,1
7466877,91,2
32571660,12,1
11471381,4,1
2832273,5,1
17390407,2,1
26264115,3,1
17960203,3,2
28273218,5,2
27641912,63,2
39206120,6,1
29916201,3,1
32358088,13,1
42034012,12,2
25998123,47,3
2434628,20,1
3343316,15,3
13756615,30,1
28131006,12,1
3201437,4,1
9728553,10,1
9501870,11,1
23152402,2,1
32349060,14,1
42695430,8,1
29687966,38,1
27698100,9,1
8294307,18,1
2704067,6,2
34159974,5,1
41207912,2,1
40363675,13,1
4104345,12,1
28665135,3,1
32383277,3,2
44422500,62,1
44461187,5,1
23198954,10,1
911909,2,1
18868757,2,1
5829022,5,1
37190129,5,1
3623808,8,1
2375938,5,1
1942300,35,2
11026043,2,1
35419157,2,1
6935299,16,1
15592023,4,1
26947783,8,3
22252977,3,1
27800900,2,1
36681157,2,1
43365301,4,1
10643546,16,1
32452990,58,4
35421578,6,1
4333990,32,1
38938730,2,2
4538561,29,1
2236088,10,1
2828065,2,2
14798218,4,1
16912989,22,2
6530825,58,10
650576,6,1
31977630,15,1
23680885,7,1
13127618,8,1
35462473,19,1
2293256,259,4
22380316,27,1
24230610,6,1
28210557,10,1
9559255,2,1
11032822,7,1
5723839,6,2
42768259,206,3
18237813,102,5
15808128,36,1
8685623,12,1
15666597,2,2
14442883,2,1
24455711,3,1
27575029,19,1
1508239,9,1
21437714,3,1
8437309,2,1
31930330,13,1
26101059,27,4
29650292,190,3
19632850,15,2
23236658,28,1
14888658,27,1
28808197,2,1
5670578,11,1
4175397,2,1
39540946,6,1
34560593,6,1
11834294,3,1
14369629,5,1
44085605,5,1
43189695,3,1
35528405,10,1
5720717,16,1
42314499,7,1
32948076,2,1
34242892,2,1
9398300,2,1
27544435,6,1
27597337,3,1
12135573,14,1
34487845,5,3
37498812,2,2
20220984,31,3
553249,9,1
13863385,2,1
10543560,2,2
3823971,6,1
27428202,22,1
41609424,4,1
21215361,179,1
5512496,11,1
5873467,8,1
29217360,3,1
22049300,12,2
16103362,7,1
14410315,3,1
11076571,2,1
27812973,2,1
27400029,180,7
38002905,3,1
5767953,2,1
32794354,5,2
19479058,2,2
13842377,10,1
30478528,15,1
36297849,4,1
5140764,4,1
32463797,10,1
6845155,9,1
7425527,41,1
33298949,36,1
19014160,4,2
19248166,3,1
5761558,9,1
27796320,2,1
12793270,106,1
30184545,61,2
8835567,3,1
42704990,7,1
13725686,120,5
19207880,2,1
8500890,7,1
19349228,2,1
30831688,2,2
8233095,3,1
7107049,11,3
31842724,19,1
17468647,138,8
14775549,4,1
16905195,2,2
31128143,2,1
19613027,19,2
28310477,6,2
38194872,9,1
9972728,28,1
28998303,7,2
32291270,3,2
8176306,5,1
34372029,2,1
17691416,2,1
10207734,11,2
20772444,9,2
26696733,2,1
31154144,6,1
17862502,2,1
37500528,3,1
5937863,5,2
40818805,12,1
13905461,2,1
11165795,6,1
16977157,59,5
10136924,7,1
10879362,14,1
39484417,29,1
25182530,3,1
263530,6,2
3665981,46,1
17099885,98,5
32327678,34,1
43042974,5,1
16183555,2,1
40384841,2,1
5467807,307,2
12722372,3,2
30736002,55,1
4602199,4,2
17540080,7,1
38460213,4,1
40844725,4,2
32892105,146,1
17979816,2,1
18115123,8,2
35048926,3,2
3571544,77,11
41588782,23,2
22247247,24,2
44570395,3,1
29442082,2,1
25530833,61,1
21551391,8,1
39574838,3,1
4501038,2,1
9743366,6,1
4275371,13,1
7946913,4,2
19850577,9,2
888356,23,1
4930944,2,1
37324820,2,1
33846200,2,1
19403194,5,1
9789885,39,2
4435973,2,1
6405989,3,1
4087836,2,1
13837970,4,1
6331626,4,1
15817643,2,2
25816504,3,1
17483873,2,2
16369257,36,2
34410600,2,1
30482837,236,1
13725800,402,7
12561384,4,1
14534828,23,1
3463751,136,2
19804199,4,1
16169431,21,1
43423389,4,2
11339839,4,1
39045147,2,1
4092401,5,3
8148761,2,1
43857766,2,2
8203477,54,1
24298215,8,1
17623980,2,2
11065084,10,1
12724424,25,1
8868866,3,1
10008828,5,1
28414678,4,1
20234745,2,2
42129573,11,2
34176374,26,1
24116602,3,2
31539646,17,1
24743732,5,1
32150515,3,1
43376534,2,2
20395473,3,2
28998961,5,2
41286964,2,1
24636915,2,2
37778631,25,1
8774931,2,1
9214216,1341,51
13929342,10,1
17572042,13,2
14223536,9,1
43502531,4,1
12211609,3,1
12351108,14,1
18053815,109,3
37304233,7,2
27058173,158,1
36545465,25,1
21356137,2,1
30770633,63,3
35206426,9,1
2658597,2,1
10526998,3,1
25304544,2,1
28923043,4,1
23911518,2,2
31177821,7,1
13713325,5,1
29634855,17,1
14392519,6,2
37610717,290,2
44089652,15,1
32184474,78,3
24754232,5,1
34605609,22,2
37887145,1,1
36863136,4,1
25445001,9,1
26173940,2,1
43769531,7,1
27689751,19,1
35657662,13,1
36789346,2,1
21644970,102,2
28158018,2,1
16512680,6,1
7817275,24,2
31970649,84,2
31071181,3,1
39333325,23,2
42015649,3,1
7620699,2,1
4101797,3,2
30030660,15,2
29537654,33,3
37746735,3,1
38727561,6,1
2180887,14,2
26654925,4,1
8067166,6,1
31500393,2,1
39519116,2,1
35249026,4,1
80063,5,1
9383435,6,2
31100880,5,2
8641691,19,1
15625230,3,1
42768456,2,1
29528703,12,1
18701114,8,1
36352058,2,1
2867758,10,1
15703303,3,1
31640290,10,1
10001246,34,1
14314545,30,1
22957179,5,1
43186164,2,2
3939729,4,2
27569876,30,1
30458486,4,1
33231852,12,1
42166171,3,1
19427701,2,1
31679626,14,1
9775460,37,1
10255644,12,1
40026818,9,2
3470979,38,3
11055881,2,1
32723947,3,1
38622968,3,1
32231600,4,1
40930436,11,1
13055492,2,1
32862382,25,2
27177841,17,2
4884337,16,3
2690361,6,1
5711264,31,1
3975365,4,1
2422092,3,1
2514854,43,1
27269104,2,1
3774838,3,1
20060374,52,2
17562779,6,2
2485906,3,1
30299397,14,1
19400735,6,1
34560230,11,1
33167329,85,2
1498485,7,1
26633538,2,2
19471600,2,1
28821521,2,2
17628869,21,1
18998081,4,1
32626078,8,1
425653,9,1
37622762,11,2
26070933,44,1
34607190,19,4
36320724,7,2
32914144,5,1
28601558,3,1
10357396,6,1
15513386,4,2
29950405,3,1
2207831,26,3
10644461,2,1
22044325,3,1
3317868,103,1
8676748,4,1
8122029,2,2
11955946,22,1
34251200,2,1
35034445,6,1
10912851,7,1
4705870,11,1
22084027,3,2
32045041,2,1
1562120,11,2
29319244,12,1
12566327,4,1
8147157,4,1
15277035,16,2
15151303,4,1
10992327,2,2
34131097,5,1
5681941,3,1
6546600,2,1
10625504,4,1
21484190,2,1
15956185,6,1
15152142,2,2
39658752,7,2
30384973,8,1
10750415,100,1
33306376,2,2
5800640,252,7
849919,79,4
23963490,3,1
25062929,2,1
23027737,2,1
27008218,4,1
32693956,31,1
13738909,4,1
33466445,10,1
320431,21,3
9356044,2,1
10283996,102,2
17393354,3,1
8055494,14,1
6557102,2,1
12483475,4,1
42205809,10,2
15816748,20,2
31759144,53,3
38812122,3,1
40565950,4,1
10255918,6,2
27308797,8,1
29196125,23,1
12536774,5,2
323316,12,2
18926744,74,1
22360268,6,2
43176762,2,1
28519957,158,2
35599029,20,1
2676306,2,1
16031571,9,1
43526239,6,1
15790025,3,1
39134920,4,1
14844172,16,3
29115073,4,2
8746931,5,3
27026816,12,1
21283427,4,1
28186987,2,1
25942333,2,1
38412519,2,1
30014300,3,1
30645710,3,1
2514968,4,1
7427790,9,2
10142499,3,2
31318635,6,1
494520,56,4
786559,4,1
22227194,8,1
28282403,79,1
29646791,49,1
24325757,13,1
36282443,3,2
22240185,7,1
9587014,4,1
31964366,182,6
10490221,5,2
33060552,3,1
19258290,7,1
33155675,31,1
25023728,7,2
9089695,3,2
35401646,57,1
6842177,4,1
5816572,5,1
35472771,8,1
44028776,4,1
29445705,153,1
11048576,6,1
18450700,6,1
14444310,2,1
26720492,3,1
2476520,7,1
33778520,4,1
38573327,5,1
