p_id,prs,code_reviews
11204413,101,0
12094914,565,0
35461675,123,0
21420143,100,24
31908789,904,1115
70101,79,40
9010262,28,22
26899953,34,0
10641804,27,0
5260878,127,45
34429182,47,0
13366843,129,0
13761657,3,0
42203706,59,0
32212848,18,0
19138503,6,0
27629491,322,0
44352856,107,5
27395932,74,424
96401,23,35
26885732,12,0
3901917,58,1
7742085,23,0
15856791,52,0
22103837,140,65
16879522,13,17
14940513,57,0
16633386,62,0
2839849,6,0
32127911,20,2
33944888,34,4
21028067,45,0
10143730,5,0
13027420,3,4
5008179,39,0
25815753,59,0
15263746,4,0
15977385,56,0
3500110,4,0
35657821,27,2
15007282,121,183
35657899,9,88
14976205,18,12
27682420,25,18
37484466,21,0
33362468,33,0
31127777,29,77
7768162,23,2
27295599,4,0
32975024,6,0
34552785,51,0
13749833,31,0
21187110,11,0
1921858,4,0
7923049,7,0
30440118,8,0
27725685,15,0
18073213,25,0
10394406,6,0
31247509,28,0
18874488,18,2
21098300,17,0
39535792,6,0
4824943,17,3
11736766,2,0
12492679,74,38
4901959,18,0
22057740,4,0
11552308,6,5
8193594,10,4
10792511,12,0
10079854,4,0
15846630,39,101
311276,22,0
32610760,30,46
1919124,9,0
8063433,8,0
13844619,12,0
18100476,4,0
37348197,27,13
7658346,15,12
31209028,35,0
12606287,15,0
598741,1,0
8535660,9,0
12292286,1,0
21054255,15,0
33553542,2,0
6314065,2,0
6731624,1,0
40079387,1,0
1925478,2,0
21941871,1,0
43565395,55,0
27047006,14,4
10058944,10,12
32797430,2,0
33890650,7,0
22059614,17,2
15846208,32,0
17110725,6,0
13338450,10,2
46168,7,0
1016488,7,0
22130730,46,2
18620926,14,0
505710,1,0
12075993,1,0
32000114,1,0
33160479,1,0
31078987,1,0
12807586,3,0
12587240,12,0
8852438,1,0
34961855,2,0
22068828,6,0
11052424,15,0
17088190,9,0
9768008,14,13
43888443,18,0
12799396,10,0
1808108,8,0
8899899,2,0
434251,12,0
61494,1,0
7850842,16,7
12467224,1,0
10569046,19,12
28098352,2,2
3897928,8,0
35512335,15,0
29904208,1,0
5386283,6,0
8785,2,0
16232045,2,0
25858971,4,0
11517555,6,0
9188751,2,0
25061412,3,0
15575230,1,0
13666023,8,23
2287254,1,0
13707899,6,0
12185772,9,0
22104453,10,5
9557068,6,0
5354424,2,0
84469,2,0
24994144,12,0
19042216,2,0
21570230,11,0
28132354,30,0
7649826,3,0
35622005,3,0
7198993,16,0
4460302,1,0
20088536,1,0
11065400,3,0
13148941,4,0
8831272,3,0
4794427,5,0
22068714,5,0
11098636,5,0
9848347,7,0
1616307,3,2
29925890,2,0
39963557,5,1
8398661,2,0
13675022,2,0
38567,2,0
4020217,2,0
22116236,5,0
16005683,7,0
10239686,4,0
7559048,3,0
35113370,3,0
24551730,1,0
4895266,6,0
91174,1,0
2411055,4,0
154854,3,0
42125248,2,0
18852062,1,0
30418607,3,0
8876582,4,0
27189441,3,0
8491322,8,0
13777089,8,0
3872513,3,0
7941933,5,0
31555494,1,0
12495859,1,0
124910,7,0
2286573,8,0
27809283,3,0
6102821,1,0
11203443,1,0
24137519,1,0
11620019,2,0
5525924,1,0
26996240,4,9
34794693,1,0
702708,2,0
9588061,1,0
31971786,1,0
225703,2,0
13753902,1,0
10888429,2,0
32584467,1,0
160251,1,0
43273551,1,0
20101681,2,0
14628255,2,0
17623297,1,0
17084461,1,0
38940144,1,6
7149,2,0
5030178,3,0
18407498,1,0
9803081,1,0
9275956,1,0
9554915,1,0
5335859,1,0
28895502,1,0
12167694,2,0
17307819,4,26
11105398,1,0
302910,1,0
7546717,1,0
4030634,2,0
674702,1,0
246043,2,0
10491058,2,0
31673103,1,0
2855184,1,0
31494921,2,0
18002,1,0
10562158,1,0
86871,1,0
9376756,1,0
14358017,2,0
1490434,1,0
114610,2,0
13700242,1,0
20470521,2,0
2366139,2,0
32694044,1,0
2338457,1,0
9875511,1,0
12136875,1,0
7299855,0,0
4939182,0,0
11355551,0,0
591724,0,0
17406048,0,0
8081185,0,0
35801395,0,0
3477514,0,0
31714381,0,0
31265452,0,0
31279731,0,0
17575556,0,0
29061970,0,0
13827080,0,0
13148643,0,0
26587526,0,0
70620,0,0
5022489,0,0
21718512,0,0
17935607,0,0
585866,0,0
2313654,0,0
775742,0,0
