p_id,median_tbc,mean_tbc
9920421,0,11.03208556
7351306,12,29.04411765
16739464,0,30.18367347
17947519,1476,1476
16379246,1,5.464566929
11395800,0,0
140960,0,28.21212121
728585,0,26.53125
2413553,486,486
12229829,0,529.5
37117,0,37.66666667
104877,0,10.88
1250586,0,17.5
2505647,1,58.33333333
35046571,228,228
147098,0,42.21621622
2536303,0,104.7142857
2252275,16,16
103841,0,80
428403,0,32.5
47739,0,2.849557522
2685700,36,86.75
22765348,29,164.1666667
853428,0,93.375
2685011,25,319
164844,30,30
1539700,0,13.3
1464811,0,0
1511017,0,0
128912,0,12.18421053
777814,0,10.66666667
2698669,0,3
313996,0,0
628800,0,1.206896552
512882,0,0.692307692
657377,0,0
815575,0,0.461538462
920244,0,0.2
2345311,0,0
3867075,221,221
1392187,0,39.93333333
1489355,0,1.444444444
21969270,0,5.442105263
3084226,7,68.84615385
7330409,394,394
1922844,64,64
2324502,0,2.727272727
960054,50,77.18181818
2313171,3,46.33333333
579875,0,35.64864865
12353886,0,1.594011976
2334649,4,4
2313826,0,0
10228292,4,105.75
2340334,0,0
2407509,0,0
2424491,0,3.916666667
2363745,1,1.5
2455675,4,4
2457930,0,0
2484927,6,7.333333333
2792226,0,0.5
3073749,0,17
2787190,0,0
2796776,1,3
2829324,0,2.5
2881317,0,0.8
2892257,0,0
2957609,0,0.090909091
3093624,0,0
3192634,1,1
3726921,0,0.2
3213891,0,0
4916868,0,185.5
4013855,52,412.5
3599289,1,22.58695652
3531948,10,386.5
3960315,1,164.7142857
3481141,0,0
3627393,0,0.2
3667964,0,0.137195122
3792100,6,6
3722447,0,7.416666667
3915224,14,14
3769699,1,1.3
3910476,0,27
4127396,0,38.33333333
3986597,0,0
3988461,0,7.538461538
3997453,1,0.947368421
4121047,2,4.5
4025939,0,6.333333333
4048146,0,0.509803922
4203809,1,2
4252260,1,11.21052632
4390728,0,3.740740741
4496885,3,39
4504549,0,1.333333333
4511773,0,0
4478470,3,3
4577428,0,0
4602373,0,3.7
4624467,2,2
4650155,0,5.088235294
4664713,0,0
4702816,0,0.733333333
4919594,0,12.15384615
4997895,0,5.5
4937877,0,0
5088246,5,5
5129825,0,10.09090909
5175206,0,0.517467249
18797341,586,586
5672343,0,0
5692433,0,22.5
8172338,0,40.6
5547917,11,32.6
5741326,0,0
29246764,529,529
5777271,0,0
5518525,0,0
5693417,0,1.5
5630712,0,1
5573032,1,1
5568143,4,10.0625
5996331,0,0
12462598,8,70.71428571
6236288,0,0
6701511,1,12.64197531
6277574,0,0
6298720,0,0
6389274,0,22.64285714
6425356,0,1.142857143
6522228,0,2.307692308
6575130,1,2.307692308
6669283,0,8.678571429
6670451,0,29.5
6836046,0,0
6900124,3,4
6840546,0,0
6787006,0,6.082568807
6940683,0,4.87804878
6955400,3,9.333333333
11191939,0,57.75
7022665,0,13.48648649
7024545,0,0
7030358,1,1.375
7066049,0,0
7106901,0,18.45454545
7133514,0,0.5
9115850,95,95
7322205,0,0
7324817,0,1
7348367,0,0
7368694,0,0.1
19891753,0,2.482315113
7607208,0,5.927536232
7623973,0,10.5625
7625283,0,0
7695827,0,8.695652174
7808799,0,0.25
8004282,5,9.4
9444849,74,342
8050414,0,0.659090909
8120953,0,0.993957704
8288093,9,9
8195299,0,0
8241092,0,0
8253514,0,0.145833333
8312362,0,0.5
8406885,0,0
8480167,0,0
8502429,0,9
8561196,0,0.333333333
8570500,0,0.12244898
23697970,1,5.44137931
8689739,0,0
8742888,1,1
9826826,25,17.66666667
24122642,508,508
8860870,0,0
9053975,1,26.78947368
8955919,0,0.2
9050184,0,33.27272727
9141412,0,0
9154398,0,0.653846154
9427938,0,0.2
9446525,0,0
